gene	uniprot
HGD76_03630	A0A6H2BXF0
HGD76_06160	A0A6H2BXF1
HGD76_06595	A0A6H2BXF2
HGD76_06225	A0A6H2BXF9
HGD76_04810	A0A6H2BXG4
HGD76_06365	A0A6H2BXH8
HGD76_03800	A0A6H2BXI0
HGD76_06845	A0A6H2BXJ1
HGD76_03565	A0A6H2BXJ3
HGD76_06520	A0A6H2BXJ8
HGD76_03665	A0A6H2BXK3
HGD76_06575	A0A6H2BXK8
HGD76_05670	A0A6H2BXL5
HGD76_06630	A0A6H2BXL7
HGD76_09160	A0A6H2BXL9
HGD76_03770	A0A6H2BXM3
HGD76_05725	A0A6H2BXM5
HGD76_06720	A0A6H2BXM7
HGD76_05265	A0A6H2BXN6
HGD76_09285	A0A6H2BXN9
HGD76_06510	A0A6H2BXS1
HGD76_06565	A0A6H2BXT2
HGD76_04135	A0A6H2BXT4
HGD76_09535	A0A6H2BXT6
HGD76_06620	A0A6H2BXU5
HGD76_07160	A0A6H2BXU7
HGD76_06270	A0A6H2BXU8
HGD76_05545	A0A6H2BXU9
HGD76_06700	A0A6H2BXV1
HGD76_09710	A0A6H2BXV6
HGD76_06350	A0A6H2BXW1
HGD76_05840	A0A6H2BXX4
HGD76_04685	A0A6H2BXY3
HGD76_06560	A0A6H2BXY9
HGD76_06930	A0A6H2BXZ0
HGD76_09930	A0A6H2BXZ4
HGD76_06615	A0A6H2BXZ8
HGD76_06990	A0A6H2BY00
HGD76_04535	A0A6H2BY01
HGD76_06810	A0A6H2BY27
HGD76_06245	A0A6H2BY29
HGD76_06320	A0A6H2BY40
HGD76_06925	A0A6H2BY46
HGD76_10225	A0A6H2BY48
HGD76_06985	A0A6H2BY56
HGD76_06485	A0A6H2BY58
HGD76_07035	A0A6H2BY63
HGD76_04890	A0A6H2BY65
HGD76_04965	A0A6H2BY74
HGD76_06590	A0A6H2BY76
HGD76_07495	A0A6H2BY81
HGD76_07195	A0A6H2BY87
HGD76_08415	A0A6H2BY88
HGD76_06495	A0A6H2BY95
HGD76_05150	A0A6H2BYA3
HGD76_06790	A0A6H2BYA4
HGD76_06550	A0A6H2BYA7
HGD76_06600	A0A6H2BYB6
HGD76_10665	A0A6H2BYC1
HGD76_06900	A0A6H2BYC2
HGD76_07815	A0A6H2BYD3
HGD76_06800	A0A6H2BYE7
HGD76_07940	A0A6H2BYF3
HGD76_08825	A0A6H2BYF7
HGD76_08910	A0A6H2BYG6
HGD76_11005	A0A6H2BYH5
HGD76_05605	A0A6H2BYH7
HGD76_07810	A0A6H2BYI2
HGD76_05960	A0A6H2BYI3
HGD76_11060	A0A6H2BYI6
HGD76_08625	A0A6H2BYI9
HGD76_07120	A0A6H2BYJ8
HGD76_08690	A0A6H2BYJ9
HGD76_09120	A0A6H2BYK0
HGD76_08800	A0A6H2BYL8
HGD76_08890	A0A6H2BYM7
HGD76_07410	A0A6H2BYP3
HGD76_06530	A0A6H2BYR0
HGD76_09485	A0A6H2BYR1
HGD76_06580	A0A6H2BYS0
HGD76_06635	A0A6H2BYS9
HGD76_06725	A0A6H2BYT8
HGD76_07745	A0A6H2BYU2
HGD76_06780	A0A6H2BYU6
HGD76_07965	A0A6H2BYU7
HGD76_06500	A0A6H2BYV6
HGD76_09465	A0A6H2BYW3
HGD76_06555	A0A6H2BYW6
HGD76_08080	A0A6H2BYW7
HGD76_11895	A0A6H2BYW8
HGD76_06605	A0A6H2BYX6
HGD76_09955	A0A6H2BYX8
HGD76_08675	A0A6H2BYY1
HGD76_09580	A0A6H2BYY3
HGD76_07005	A0A6H2BYY4
HGD76_06750	A0A6H2BYZ3
HGD76_08275	A0A6H2BYZ4
HGD76_07090	A0A6H2BYZ6
HGD76_09195	A0A6H2BZ07
HGD76_08090	A0A6H2BZ08
HGD76_09815	A0A6H2BZ14
HGD76_12180	A0A6H2BZ18
HGD76_08210	A0A6H2BZ27
HGD76_06980	A0A6H2BZ35
HGD76_12290	A0A6H2BZ38
HGD76_12365	A0A6H2BZ49
HGD76_12410	A0A6H2BZ57
HGD76_07250	A0A6H2BZ72
HGD76_09685	A0A6H2BZ79
HGD76_09375	A0A6H2BZ87
HGD76_08655	A0A6H2BZ97
HGD76_12730	A0A6H2BZB2
HGD76_10450	A0A6H2BZB9
HGD76_12790	A0A6H2BZC2
HGD76_09655	A0A6H2BZC5
HGD76_09735	A0A6H2BZD4
HGD76_07800	A0A6H2BZG0
HGD76_09970	A0A6H2BZH2
HGD76_08070	A0A6H2BZH7
HGD76_11175	A0A6H2BZI2
HGD76_10815	A0A6H2BZI5
HGD76_13240	A0A6H2BZJ7
HGD76_08250	A0A6H2BZK4
HGD76_13290	A0A6H2BZK8
