(+)-Limonene	CC1=CCC(CC1)C(=C)C
2-Dehydropantoate	CC(C)(CO)C(=O)C(=O)[O-]
2-Demethylmenaquinol 8	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C2=CC=CC=C2C(=C1)O)O)C)C)C)C)C)C)C)C
2-Demethylmenaquinone 8	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C
2-Deoxy-D-glucose	C(C=O)C(C(C(CO)O)O)O
2-Deoxy-D-glucose 6-phosphate	C1C(C(C(OC1O)COP(=O)(O)O)O)O
2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate	CSCCC(=O)C(=COP(=O)(O)O)O
2-Hydroxy-3-oxoadipate	C(CC(=O)[O-])C(=O)C(C(=O)[O-])O
2-Hydroxybutyrate	CCC(C(=O)O)O
2-Hydroxyethyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O
2-Hydroxyhepta-2,4-dienedioate	C(C=CC=C(C(=O)O)O)C(=O)O
2-Hydroxyphenylacetate	C1=CC=C(C(=C1)CC(=O)[O-])O
2-Isopropylmalate	CC(C)C(CC(=O)O)(C(=O)O)O
2-Isopropylmaleate	CC(C)C(=CC(=O)O)C(=O)O
2-Lysolecithin	
2-Methylacetoacetyl-CoA	CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-Methylbutyryl-CoA	CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-Naphthaldehyde	C1=CC=C2C=C(C=CC2=C1)C=O
2-Naphthoic acid	C1=CC=C2C=C(C=CC2=C1)C(=O)O
2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	
2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	CC1=C(C(=O)C(=CC1=O)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
2-Octaprenyl-6-hydroxyphenol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C
2-Octaprenyl-6-methoxy-1,4-benzoquinone	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C)C)C
2-Octaprenyl-6-methoxyphenol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C)C
2-Octaprenylphenol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C
2-Oxo acid	
2-Oxo-3-hydroxy-4-phosphobutanoate	C(C(C(=O)C(=O)O)O)OP(=O)(O)O
2-Oxo-6-aminocaproate	C(CCN)CC(=O)C(=O)O
2-Oxobutyrate	CCC(=O)C(=O)O
2-Oxoglutarate	C(CC(=O)O)C(=O)C(=O)O
2-Oxohept-3-enedioate	C(CC(=O)[O-])C=CC(=O)C(=O)[O-]
2-Oxopropanal	CC(=O)C=O
2-Phenyl-1,3-propanediol monocarbamate	C1=CC=C(C=C1)C(CO)COC(=O)N
2-Phenylacetamide	C1=CC=C(C=C1)CC(=O)N
2-Phospho-D-glycerate	C(C(C(=O)O)OP(=O)(O)O)O
2-Phosphoglycolate	C(C(=O)[O-])OP(=O)([O-])[O-]
2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	C=C(C(=O)O)OC1C=CC(C(C1O)C(=O)O)C(=O)CCC(=O)O
2-isopropyl-3-oxosuccinate	CC(C)C(C(=O)C(=O)O)C(=O)O
2-methylbutyryl-ACP	
2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol	
24-Methylenecycloartanol	CC(C)C(=C)CCC(C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C
2dmmq7	
3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene	C1=CC(=CC(C1SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)Br
3,4-Dihydroxymandelaldehyde	C1=CC(=C(C=C1C(C=O)O)O)O
3,4-Dihydroxyphenylethyleneglycol	C1=CC(=C(C=C1C(CO)O)O)O
3-4-dihydroxy-2-butanone4-phosphate	
3-Amino-2-oxopropyl phosphate	C(C(=O)COP(=O)(O)O)N
3-Aminopropanal	C(CN)C=O
3-Carbamoyl-2-phenylpropionaldehyde	C1=CC=C(C=C1)C(COC(=O)N)C=O
3-Chloroallyl aldehyde	
3-Dehydroshikimate	C1C(C(C(=O)C=C1C(=O)O)O)O
3-Hydroxyisobutyrate	CC(CO)C(=O)[O-]
3-Hydroxystearoyl-[acp]	
3-Isopropylmalate	CC(C)C(C(C(=O)O)O)C(=O)O
3-Lysolecithin	
3-Mercaptolactate	C(C(C(=O)O)O)S
3-Methyl-2-oxobutanoate	CC(C)C(=O)C(=O)O
3-Methylsalicylaldehyde	CC1=C(C(=CC=C1)C=O)O
3-Methylsalicylate	CC1=C(C(=CC=C1)C(=O)O)[O-]
3-Octaprenyl-4-hydroxybenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)[O-])C)C)C)C)C)C)C)C
3-Oxo-2-methylpropanoate	CC(C=O)C(=O)[O-]
3-Oxoacyl-CoA	
3-Oxodecanoyl-CoA	CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxododecanoyl-CoA	CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxohexanoyl-CoA	CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxohexanoyl-[acp]	
3-Oxooctanoyl-CoA	CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxooctodecanoyl-ACP	
3-Oxopalmitoyl-CoA	CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Oxopropanoate	C(C=O)C(=O)[O-]
3-Oxostearoyl-[acp]	
3-Oxotetradecanoyl-CoA	CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-Phospho-D-erythronate	C(C(C(C(=O)O)O)OP(=O)(O)O)O
3-Phosphoglycerate	C(C(C(=O)O)O)OP(=O)(O)O
3-Phosphonooxypyruvate	C(C(=O)C(=O)O)OP(=O)(O)O
3-Sulfolactate	C(C(C(=O)O)O)S(=O)(=O)O
3-oxodecanoyl-acp	
3-oxododecanoyl-acp	
3-oxohexadecanoyl-acp	
3-oxooctanoyl-acp	
3-oxotetradecanoyl-acp	
3-phosphoadenylylsulfate	
3-phosphoshikimate	C1C(C(C(C=C1C(=O)[O-])OP(=O)([O-])[O-])O)O
3MOP	
3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	CC(CCCC(C)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C)C=O
4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene	C1=CC=C2C3=C4C(=CC2=C1)C(C(C5=CC=CC(=C54)C=C3)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
4-(Phosphonooxy)-threonine	C(C(C(C(=O)O)N)O)OP(=O)(O)O
4--1-D-Ribitylamino-5-aminouracil	
4--cytidine5-diphospho-2-C-methyl-D-erythritol	
4-Amino-2-methyl-5-diphosphomethylpyrimidine	CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O
4-Amino-5-phosphomethyl-2-methylpyrimidine	CC1=NC=C(C(=N1)N)COP(=O)(O)O
4-Aminobutanal	C(CC=O)CN
4-Coumaroyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O
4-Glutathionyl cyclophosphamide	C1COP(=O)(NC1SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)N(CCCl)CCCl
4-Guanidinobutanamide	C(CC(=O)N)CN=C(N)N
4-Guanidinobutanoate	C(CC(=O)O)CN=C(N)N
4-Hydroxy-2-oxoglutarate	C(C(C(=O)[O-])O)C(=O)C(=O)[O-]
4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	C1C(C(NC(=O)O1)O)C2=CC=CC=C2
4-Hydroxy-L-glutamate	C(C(C(=O)[O-])[NH3+])C(C(=O)[O-])O
4-Hydroxy-L-threonine	C(C(C(C(=O)O)N)O)O
4-Hydroxy-benzylalcohol	C1=CC(=CC=C1CO)O
4-Hydroxybenzoate	C1=CC(=CC=C1C(=O)O)O
4-Hydroxymethylsalicylaldehyde	C1=CC(=C(C=C1CO)O)C=O
4-Hydroxymethylsalicylate	C1=CC(=C(C=C1CO)O)C(=O)O
4-Imidazoleacetate	C1=C(NC=N1)CC(=O)O
4-Methyl-5--2-phosphoethyl-thiazole	
4-Nitrophenyl phosphate	C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O
4-Oxobutanoate	C(CC(=O)[O-])C=O
4-Phospho-L-aspartate	C(C(C(=O)O)N)C(=O)OP(=O)(O)O
4-Phosphoerythronate	C(C(C(C(=O)O)O)O)OP(=O)(O)O
4-methyl-3-hydroxy-hexanoyl-ACP	
4-methyl-3-oxo-hexanoyl-ACP	
4-methyl-3-oxo-pentanoyl-ACP	
4-methyl-hexanoyl-ACP	
4-methyl-pentanoyl-ACP	
4-methyl-trans-hex-2-enoyl-ACP	
4-methyl-trans-pent-2-enoyl-ACP	
4-methylthio 2-oxobutyrate	
4-phosphopantothenate	
4MOP	
4a-Hydroxytetrahydrobiopterin	CC(C(C1CN=C2C(N1)(C(=O)NC(=N2)N)O)O)O
5'-Deoxy-5-fluorocytidine	CC1C(C(C(O1)N2C=C(C(=NC2=O)N)F)O)O
5'-Deoxyadenosine	CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)O
5'-Phosphoribosylformylglycinamidine	C(C1C(C(C(O1)N=C(CNC=O)N)O)O)OP(=O)(O)O
5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate	C1=C(NC(=O)C(=C1O)CCC(=O)O)C(=O)O
5-(2'-Formylethyl)-4,6-dihydroxypicolinate	C1=C(NC(=O)C(=C1O)CCC=O)C(=O)O
5-10-Methenyltetrahydrofolate	
5-10-Methylenetetrahydrofolate	C1C2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
5-Amino-6--5-phosphoribitylaminouracil	
5-Amino-6--5-phosphoribosylaminouracil	
5-Aminolevulinate	C(CC(=O)O)C(=O)CN
5-Carboxy-2-oxohept-3-enedioate	C(C(C=CC(=O)C(=O)O)C(=O)O)C(=O)O
5-Carboxymethyl-2-hydroxymuconate	C(C(=CC=C(C(=O)O)O)C(=O)O)C(=O)O
5-Carboxymethyl-2-hydroxymuconic semialdehyde	C(C(=CO)C=CC(=O)C(=O)O)C(=O)O
5-Dehydro-4-deoxy-D-glucarate	C(C(C(C(=O)O)O)O)C(=O)C(=O)O
5-Dehydroquinate	C1C(C(C(=O)CC1(C(=O)O)O)O)O
5-FU	C1=C(C(=O)NC(=O)N1)F
5-Fluorouridine monophosphate	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)O)O)O)F
5-Formiminotetrahydrofolate	C1C(N(C2=C(N1)N=C(NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
5-Formyltetrahydrofolate	C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	C1(=NC(=O)NC1(C(=O)O)O)NC(=O)N
5-Hydroxy-L-tryptophan	C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
5-Hydroxyisourate	C12=NC(=O)NC1(C(=O)NC(=O)N2)O
